Id;Name;Release;Rate;Publisher
1;Far Cry 6;07/10/2021;7,4;1
2;Immortals: Fenyx Rising;03/12/2020;8;1
3;Assassin's Creed: Valhalla;10/11/2020;8,1;1
4;Watch Dogs: Legion;29/10/2020;7,2;1
5;Assassin's Creed: Odyssey;02/10/2018;8,3;1
6;The Crew 2;31/05/2018;6,8;1
7;Riders Republic;28/10/2021;8,1;1
8;For Honor;15/09/2016;7,6;1
9;Steep;02/12/2016;7;1
10;Monopoly Madness;09/09/2021;6,7;1
11;WRC;31/10/2023;7,4;2
12;F1 23;28/04/2023;8,1;2
13;Star Wars: Jedi - Survivor;28/04/2023;8,3;2
14;Dead Space;27/01/2023;8,6;2
15;NFS: Unbound;29/11/2022;7,3;2
16;Battlefield 2042;12/11/2021;6,7;2
17;Mass Effect: Legendary Edition;30/04/2021;8,5;2
18;Star Wars: Squadrons;01/10/2020;7,6;2
19;A Way Out;23/03/2018;7,8;2
20;Titanfall;11/03/2014;8,2;2
21;The Last of Us: Part II - Remastered;19/01/2024;8,5;3
22;Gran Turismo 7;04/03/2022;8,4;3
23;Returnal;30/04/2021;8,6;3
24;MediEvil;24/09/2019;6,9;3
25;inFAMOUS: Second Son;21/03/2014;7,5;3
26;Beyond: Two Souls;01/10/2013;7,3;3
27;Driveclub;07/10/2014;7,1;3
28;Ratchet & Clank;16/04/2016;8,5;3
29;Uncharted 4: A Thief's End;10/10/2016;9,1;3
30;Horizon: Zero Dawn;28/02/2017;8,5;3
31;Half-Life;19/11/1998;9,5;4
32;Counter-Strike 2;27/09/2023;8,7;4
33;Team Fortress 2;10/10/2007;9,3;4
34;Dota 2;09/07/2013;8,1;4
35;Half-Life: Alyx;23/03/2020;9,1;4
36;Portal 2;18/04/2011;9,3;4
37;Portal;10/10/2007;9;4
38;Day of Defeat: Source;26/09/2005;8,4;4
39;Left 4 Dead;17/10/2008;8,6;4
40;Counter-Strike Source;01/11/2004;8,9;4
41;Starfield;06/09/2023;8,1;5
42;Doom Eternal;20/03/2020;8,6;5
43;Fallout 76;23/10/2018;5,1;5
44;The Elder Scrolls V: Skyrim;11/11/2011;8,3;5
45;The Elder Scrolls IV: Oblivion;20/03/2006;8,5;5
46;RAGE 2;13/05/2019;6,3;5
47;Fallout 4;10/11/2015;8,1;5
48;The Elder Scrolls III: Morrowind;01/05/2002;8,3;5
49;Wolfenstein: The New Order;19/10/2014;9,1;5
50;Doom;13/05/2016;8,8;5
